n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,3,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,1
2,4,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,4,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,4,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,6
2,4,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,4
2,4,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,8
2,5,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,7
2,5,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,5,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,7
2,5,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,5,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,5
2,6,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,6,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,6,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,4
2,6,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,6,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,5
2,7,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,5
2,7,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,7,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,14
2,7,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,7,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,5
2,8,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,4
2,8,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,6
2,8,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,8,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,8,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,9,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,58
2,9,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,6
2,9,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,6
2,9,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,9,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,10,1,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,10,2,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,10,3,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,10,4,bayesian,1.0,1.0,0.05,5000,0.5,1.0,17
2,10,5,bayesian,1.0,1.0,0.05,5000,0.5,1.0,3
2,1,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,1,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,1,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,1,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,1,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,2,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,28
2,2,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,2,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,2,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,2,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,3,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,3,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,3,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,7
2,3,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,7
2,3,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,14
2,4,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,1
2,4,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,1
2,4,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,1
2,4,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,1
2,4,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,1
2,5,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,5,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,5,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,5,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,5,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,6,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,6,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,7
2,6,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,6,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,6,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,7,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,7,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,7,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,7,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,7
2,7,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,8,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,14
2,8,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,8,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,8,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,28
2,8,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,9,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,9,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,9,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,12
2,9,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,9,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,3
2,10,1,bayesian,1.0,1.0,0.05,5000,0.75,1.0,6
2,10,2,bayesian,1.0,1.0,0.05,5000,0.75,1.0,5
2,10,3,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,10,4,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,10,5,bayesian,1.0,1.0,0.05,5000,0.75,1.0,4
2,1,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,3
2,1,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,13
2,1,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,1,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,1,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,2,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,2,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,10
2,2,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,2,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,2,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,3,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,3,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,3,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,7
2,3,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,3,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,4,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,4,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,4,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,4,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,18
2,4,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,11
2,5,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,5,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,3
2,5,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,3
2,5,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,32
2,5,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,3
2,6,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,6,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,7
2,6,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,18
2,6,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,6,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,11
2,7,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,7,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,7,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,7,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,3
2,7,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,8,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,1
2,8,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,1
2,8,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,1
2,8,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,1
2,8,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,1
2,9,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,7
2,9,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,9,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,9,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,6
2,9,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,10,1,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,10,2,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,10,3,bayesian,1.0,1.0,0.05,5000,1.0,1.0,4
2,10,4,bayesian,1.0,1.0,0.05,5000,1.0,1.0,10
2,10,5,bayesian,1.0,1.0,0.05,5000,1.0,1.0,5
2,1,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,2
2,1,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,2
2,1,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,2
2,1,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,2
2,1,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,2
2,2,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,2,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,2,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,7
2,2,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,14
2,2,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,3,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,19
2,3,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,15
2,3,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,22
2,3,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,3,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,4,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,11
2,4,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,10
2,4,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,10
2,4,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,4,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,7
2,5,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,9
2,5,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,5,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,5,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,5,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,8
2,6,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,6,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,6,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,6,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,7
2,6,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,18
2,7,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,7,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,7,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,5
2,7,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,8
2,7,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,3
2,8,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,1
2,8,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,1
2,8,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,1
2,8,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,1
2,8,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,1
2,9,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,9,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,9,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,9,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,6
2,9,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,10,1,bayesian,1.0,1.0,0.05,5000,1.25,1.0,8
2,10,2,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,10,3,bayesian,1.0,1.0,0.05,5000,1.25,1.0,7
2,10,4,bayesian,1.0,1.0,0.05,5000,1.25,1.0,4
2,10,5,bayesian,1.0,1.0,0.05,5000,1.25,1.0,10
2,1,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,2
2,1,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,2
2,1,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,2
2,1,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,2
2,1,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,2
2,2,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,10
2,2,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,10
2,2,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,2,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,7
2,2,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,22
2,3,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,3,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,14
2,3,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,3,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,3,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,10
2,4,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,4,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,4,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,7
2,4,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,4,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,5,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,5,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,5,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,8
2,5,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,8
2,5,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,6,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,6,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,6,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,6,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,6,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,7,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,7,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,7,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,11
2,7,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,3
2,7,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,8,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,20
2,8,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,8,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,8,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,8,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,9,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,7
2,9,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,9,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,9,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,9,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,10
2,10,1,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,10,2,bayesian,1.0,1.0,0.05,5000,1.5,1.0,33
2,10,3,bayesian,1.0,1.0,0.05,5000,1.5,1.0,6
2,10,4,bayesian,1.0,1.0,0.05,5000,1.5,1.0,5
2,10,5,bayesian,1.0,1.0,0.05,5000,1.5,1.0,4
2,1,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,1,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,1,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,1,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,1,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,2,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,9
2,2,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,2,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,2,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,31
2,2,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,3,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,3,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,19
2,3,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,3,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,3,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,4,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,11
2,4,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,4,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,55
2,4,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,10
2,4,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,9
2,5,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,7
2,5,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,5,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,5,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,5,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,6,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,15
2,6,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,14
2,6,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,6,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,6,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,14
2,7,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,8
2,7,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,7,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,7,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,3
2,7,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,8,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,8,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,8,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,8
2,8,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,8,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,9,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,7
2,9,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,7
2,9,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,11
2,9,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,7
2,9,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,4
2,10,1,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,10,2,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,10,3,bayesian,1.0,1.0,0.05,5000,1.75,1.0,41
2,10,4,bayesian,1.0,1.0,0.05,5000,1.75,1.0,6
2,10,5,bayesian,1.0,1.0,0.05,5000,1.75,1.0,5
2,1,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,3
2,1,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,1,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,3
2,1,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,3
2,1,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,2,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,6
2,2,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,10
2,2,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,2,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,2,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,6
2,3,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,3,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,11
2,3,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,3,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,6
2,3,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,6
2,4,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,10
2,4,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,4,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,4,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,20
2,4,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,5,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,5,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,5,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,8
2,5,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,5,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,11
2,6,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,10
2,6,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,9
2,6,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,6,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
2,6,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,16
2,7,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,7,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,3
2,7,3,bayesian,1.0,1.0,0.05,5000,2.0,1.0,22
2,7,4,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,7,5,bayesian,1.0,1.0,0.05,5000,2.0,1.0,4
2,8,1,bayesian,1.0,1.0,0.05,5000,2.0,1.0,8
2,8,2,bayesian,1.0,1.0,0.05,5000,2.0,1.0,5
